Subject,Start Date
Henry V and Pope Paschal II continue Investiture dispute,03/24/1115
Jurchen Jin dynasty founded by Wanyan Aguda in Manchuria,07/17/1115
"Bernard of Clairvaux founds Clairvaux Abbey, Cistercian growth",09/03/1115
Byzantine Emperor Alexios I defeats Seljuks at Battle of Philomelion,01/09/1116
Peter Abelard begins teaching theology in Paris,09/30/1116
Crusaders raid toward Damascus,11/27/1116
"Pope Paschal II dies, Gelasius II elected",02/01/1117
"Alexios I Komnenos, Byzantine Emperor, dies",11/08/1117
Battle of Shaizar - Crusaders defeat Seljuks,11/22/1117
Knights Templar founded in Jerusalem,02/03/1118
Henry I of England takes Normandy from brother Robert,02/07/1118
"Alexios I Komnenos dies, John II Komnenos becomes Byzantine Emperor",08/15/1118
"Callistus II becomes pope, Investiture Controversy nears end",02/02/1119
Battle of Ager Sanguinis (Field of Blood) - Crusaders badly defeated,06/28/1119
Order of Knights Templar officially founded,09/13/1119
Concordat of Nablus - laws established for Crusader kingdom,05/16/1120
Jin dynasty under Wanyan Aguda destroys Liao dynasty,11/20/1120
"White Ship disaster - William Adelin, heir to Henry I, drowns",11/25/1120
David IV of Georgia liberates Tbilisi from Muslims,03/20/1121
Battle of Didgori - King David IV of Georgia defeats Seljuks,08/12/1121
Council of Soissons condemns Peter Abelard's theological views,10/09/1121
Concordat of Worms ends Investiture Controversy,09/23/1122
Birth of Eleanor of Aquitaine,10/16/1122
John II Komnenos defeats Pechenegs,12/08/1122
First Lateran Council - first ecumenical council in Rome,03/18/1123
Baldwin II of Jerusalem captured by Seljuks,05/14/1123
Venetian Crusade helps capture Tyre,12/16/1123
Baldwin II of Jerusalem ransomed and released,05/28/1124
"Henry V, Holy Roman Emperor, dies without heir",06/12/1124
Crusaders capture Tyre with Venetian naval help,07/07/1124
John II Komnenos campaigns against Hungarians,01/10/1125
Lothair III elected Holy Roman Emperor,04/28/1125
"Henry V, Holy Roman Emperor, dies - Salian dynasty ends",05/23/1125
Song China pays tribute to Jin dynasty after military defeats,07/09/1126
Jurchen Jin dynasty captures the Liao capital,07/20/1126
Alfonso VII of Castile and Leon begins reign,12/23/1126
Jin dynasty captures Northern Song capital Kaifeng,01/26/1127
"Southern Song dynasty established, capital moves to Hangzhou",06/03/1127
Song Emperor Huizong and Qinzong captured by Jin - Jingkang Incident,06/14/1127
Jurchen Jin dynasty conquers northern China,12/26/1127
Knights Templar receive formal recognition at Council of Troyes,01/13/1128
Alfonso Henriques defeats Moors and founds Portugal,05/11/1128
"Matilda, daughter of Henry I, becomes Countess of Anjou by marrying Geoffrey",11/14/1128
Order of Aviz founded in Portugal,01/13/1129
Crusaders besiege Damascus unsuccessfully,08/05/1129
Imad ad-Din Zengi becomes ruler of Mosul and Aleppo,11/24/1129
Bernard of Clairvaux supports Innocent II against Anacletus,01/22/1130
Schism - Innocent II and Anacletus II both claim papacy,04/07/1130
Roger II unifies Norman Sicily and southern Italy into Kingdom of Sicily,12/25/1130
"Baldwin II of Jerusalem dies, Fulk of Anjou becomes king",05/07/1131
Pope Anacletus II vs Pope Innocent II schism continues,07/19/1131
Almohad movement conquers much of Morocco,07/26/1131
Lothair III defeats Hohenstaufen rivals in Germany,01/31/1132
Song China under Gaozong stabilizes Southern Song,02/20/1132
Battle of Nocera - Roger II defeats papal forces,12/31/1132
Bernard of Clairvaux preaches throughout Europe for Innocent II,05/12/1133
Al-Idrisi begins work on geography for Roger II of Sicily,05/13/1133
Lothair III crowned Holy Roman Emperor by Pope Innocent II,06/04/1133
Battle of Fraga - Alfonso I of Aragon killed fighting Almoravids,07/17/1134
"Alfonso I of Aragon dies without heir, Aragon and Navarre separate",09/27/1134
Ramiro II of Aragon briefly becomes monk-king,10/19/1134
King Stephen of England crowned,04/06/1135
Stephen of Blois seizes English throne despite oath to Matilda,05/15/1135
Moses Maimonides born in Cordoba,10/02/1135
"Henry I of England dies, civil war (The Anarchy) begins",12/01/1135
Zengi captures Atharib from Crusaders,08/09/1136
English civil war (The Anarchy) intensifies,09/04/1136
Geoffrey of Monmouth writes Historia Regum Britanniae,09/23/1136
Roger II of Sicily gains control of Capua and Naples,01/23/1137
"Louis VII becomes king of France, marries Eleanor of Aquitaine",08/01/1137
"Lothair III, Holy Roman Emperor, dies",12/04/1137
Conrad III elected first Hohenstaufen Holy Roman Emperor,02/01/1138
Second Lateran Council condemns the schism,05/31/1138
Battle of the Standard - England defeats Scotland,08/22/1138
Kingdom of Portugal founded,01/10/1139
Second Lateran Council resolves papal schism,04/16/1139
Battle of Ourique - Portuguese defeat Almoravids,07/25/1139
"Portugal recognized as kingdom, Alfonso Henriques first king",08/04/1139
Peter Abelard condemned at Council of Sens,03/24/1140
Zengi captures Edessa region forts from Crusaders,07/12/1140
Conrad III of Germany launches campaign against Bavaria,11/14/1140
Battle of Lincoln - Empress Matilda captures King Stephen,02/02/1141
Prester John legend begins circulating in Europe,11/03/1141
Matilda briefly rules England as Lady of the English,11/23/1141
"John II Komnenos dies, Manuel I Komnenos becomes Byzantine Emperor",04/08/1142
Peter Abelard dies after condemnation,04/21/1142
Zengi consolidates power in Mosul and Aleppo,07/11/1142
Afonso I of Portugal defeats Moors at Battle of Ourique,05/05/1143
"Empress Matilda withdraws from England, Stephen regains control",07/21/1143
Roger II of Sicily's admiral captures Corfu from Byzantines,09/10/1143
Bernard of Clairvaux preaches Second Crusade,05/21/1144
Pope Eugene III calls Second Crusade in response,10/03/1144
"Zengi captures Edessa, first Crusader state to fall",12/24/1144
Bernard of Clairvaux begins preaching Second Crusade,07/23/1145
Almohad dynasty begins conquest of Iberian Peninsula,10/26/1145
Pope Eugene III issues Quantum Predecessores calling Second Crusade,12/01/1145
"Nur ad-Din, son of Zengi, takes over Aleppo",04/25/1146
Zengi assassinated by his own slaves,09/14/1146
Almohads take Marrakech from Almoravids,06/06/1147
Crusaders attack Damascus but fail to take it,07/09/1147
Almohad dynasty defeats Almoravids in Morocco,09/04/1147
Second Crusade departs from Europe,09/23/1147
Second Crusade launched,12/27/1147
Second Crusade siege of Damascus fails completely,07/15/1148
Roger II of Sicily raids Byzantine Greece,09/26/1148
Battle of Dorylaeum - Crusaders defeated by Seljuks,11/19/1148
Nur ad-Din defeats Crusader prince Raymond of Antioch,06/29/1149
Church of the Holy Sepulchre in Jerusalem rebuilt by Crusaders,08/05/1149
Second Crusade ends in failure,10/19/1149
University of Paris begins to form from cathedral schools,01/12/1150
Angkor Wat built in Cambodia,03/06/1150
Medieval Warm Period peaks,04/05/1150
Eleanor of Aquitaine's marriage to Louis VII annulled,04/22/1150
University of Paris established,06/12/1150
Almohad empire expands to control most of North Africa and Muslim Spain,12/27/1150
"Geoffrey of Anjou dies, Henry inherits Anjou and Normandy",09/07/1151
Eleanor of Aquitaine divorced from Louis VII of France,10/17/1151
Frederick Barbarossa becomes Duke of Swabia,04/07/1152
Eleanor of Aquitaine marries Henry Plantagenet (future Henry II of England),05/18/1152
David I of Scotland dies,05/24/1153
Treaty of Wallingford ends English civil war - Stephen to be succeeded by Henry,11/21/1153
Frederick Barbarossa elected king of Germany,12/21/1153
Anarchy ends in England - Henry II crowned,05/15/1154
Kingdom of Bosnia founded,09/16/1154
King Stephen of England dies,10/25/1154
Pope Adrian IV (first English pope) elected,12/04/1154
"Henry II becomes king of England, Plantagenet dynasty begins",12/19/1154
Henry II begins restructuring English government and law,04/16/1155
Frederick Barbarossa crowned Holy Roman Emperor by Pope Adrian IV,06/18/1155
Arnold of Brescia executed for leading Roman republic revolt,06/18/1155
Treaty of Benevento - Barbarossa recognizes Roger's kingdom,01/26/1156
Henry the Lion restored as Duke of Bavaria,09/15/1156
Austria becomes a duchy under the Privilegium Minus,09/17/1156
Battle of Lena - Denmark defeats Sweden,06/12/1157
Richard I of England born (the Lionheart),09/08/1157
Frederick Barbarossa defeats Poland,11/20/1157
Henry II of England campaigns in Wales,03/11/1158
Almohad caliph Abd al-Mumin completes conquest of North Africa,06/29/1158
"Frederick Barbarossa issues Roncaglia Decrees, asserting imperial rights in Italy",11/11/1158
Thomas Becket becomes Chancellor of England,04/21/1159
"Frederick Barbarossa supports anti-pope, opposes Alexander III",06/16/1159
"Pope Alexander III vs anti-pope Victor IV, new schism",09/07/1159
Almohad persecution of Christians and Jews in North Africa,03/08/1160
Nur ad-Din captures Crusader fortress of Banias,11/17/1160
Henry II reforms English law with Constitutions of Clarendon,11/25/1160
Manuel I Komnenos campaigns against Hungarian and Serbian kingdoms,07/15/1161
Song China repels Jin dynasty invasion,09/07/1161
Battle of Caishi - Southern Song defeats Jin navy,12/28/1161
Thomas Becket becomes Archbishop of Canterbury,01/13/1162
Frederick Barbarossa destroys Milan as punishment,03/01/1162
Genghis Khan born (approximate),07/24/1162
Notre-Dame Cathedral construction begins in Paris,03/07/1163
Nur ad-Din invades Crusader Kingdom of Jerusalem,03/07/1163
Council of Tours condemns Cathar heresy,09/11/1163
Thomas Becket flees to France to escape Henry II,01/21/1164
"Constitutions of Clarendon - Henry II limits church powers, Becket flees",05/16/1164
Battle of Harim - Nur ad-Din defeats Crusaders and Byzantines,08/12/1164
Fatimid caliph Al-Adid last significant ruler in Egypt,02/01/1165
William I of Scotland becomes king,09/24/1165
John of Salisbury writes Policraticus on political theory,12/05/1165
Henry II campaigns in Ireland and Brittany,04/17/1166
Kilij Arslan II consolidates Seljuk power in Anatolia,08/24/1166
Assize of Clarendon - Henry II restructures English common law,10/05/1166
"Plague devastates Barbarossa's army in Italy, forces withdrawal",05/07/1167
University of Oxford established,05/10/1167
Frederick Barbarossa besieges Rome,07/20/1167
Lombard League formed - Italian city-states unite against Barbarossa,08/10/1167
Amalric I of Jerusalem invades Egypt,05/15/1168
Saladin arrives in Egypt as Shirkuh's lieutenant,09/24/1168
"Shirkuh, uncle of Saladin, becomes vizier of Fatimid Egypt",10/01/1168
Amalric I of Jerusalem fails to take Damietta,01/02/1169
Saladin becomes vizier of Egypt after Shirkuh dies,03/23/1169
"Normans and Crusaders jointly attack Egypt, fail at Damietta",08/17/1169
Henry II's sons rebel against him,09/25/1170
Saladin consolidates power in Egypt,11/29/1170
"Thomas Becket, Archbishop of Canterbury, murdered in cathedral",12/29/1170
Murder of Thomas Becket,12/29/1170
Amalric I of Jerusalem visits Byzantine Constantinople,03/21/1171
Henry II of England invades Ireland,06/09/1171
Ayyubid dynasty founded,06/13/1171
"Saladin abolishes Fatimid Caliphate, Egypt returns to Sunni Islam",09/10/1171
Henry II recognized as Lord of Ireland,02/24/1172
Pope Alexander III forces Henry II to do penance for Becket's murder,06/30/1172
Saladin becomes Sultan of Egypt and Syria,12/05/1172
Ibn Rushd (Averroes) writes commentaries on Aristotle in Cordoba,01/16/1173
Eleanor of Aquitaine captured by Henry II while supporting sons' revolt,07/14/1173
Revolt of Henry II's sons and wife Eleanor,09/09/1173
Saladin invades Crusader Kingdom after Nur ad-Din dies,03/18/1174
"Nur ad-Din, ruler of Syria, dies",05/15/1174
William I of Scotland captured by Henry II at Battle of Alnwick,07/13/1174
Ghurid Empire invades Indian subcontinent,01/07/1175
Treaty of Windsor - Henry II acknowledges Rory O'Connor as High King of Ireland,02/05/1175
Almohad empire reaches peak territorial extent in Iberia,05/02/1175
Saladin defeats Crusaders at Battle of the Horns of Hama,11/03/1175
Battle of Legnano - Lombard League defeats Frederick Barbarossa,05/29/1176
Saladin consolidates control over Syria,07/17/1176
Battle of Myriokephalon - Seljuks defeat Byzantines decisively,09/17/1176
Saladin's first major defeat by the Crusaders,03/19/1177
Peace of Venice - Barbarossa recognizes Pope Alexander III,07/24/1177
Battle of Montgisard - Crusaders defeat Saladin,11/25/1177
